Tweet-ID,Permalink van Tweet,Tweettekst,tijd,weergaven,interacties,interactieratio,retweets,antwoorden,vind-ik-leuks,clicks op gebruikersprofiel,URL-clicks,clicks op hashtag,uitklappen van details,clicks op permalinks,app-openingen,app-installaties,volgers,Tweet e-mailen,telefoon kiezen,mediaweergaven,media-interacties,uitgelicht weergaven,uitgelicht interacties,uitgelicht interactieratio,uitgelicht retweets,uitgelicht antwoorden,uitgelicht vind-ik-leuks,uitgelicht clicks op gebruikersprofiel,uitgelicht URL-clicks,uitgelicht clicks op hashtag,uitgelicht uitklappen van details,uitgelicht clicks op permalinks,uitgelicht app-openingen,uitgelicht app-installaties,uitgelicht volgers,uitgelicht Tweet e-mailen,uitgelicht telefoon kiezen,uitgelicht mediaweergaven,uitgelicht media-interacties
1.26631E+18,https://twitter.com/NextgardenNL/status/1266308390520848385,"Het project ‘Experience The Horticulture NEXTgarden’ onderzoekt of een #belevingscentrum kan bijdragen aan de kennis en betrokkenheid van burgers en bezoekers bij de #glastuinbouwsector in de regio. 

Lees er hier meer over: https://t.co/NcJ0sPGSbU https://t.co/P6AAqOHjdg",2020-05-29 10:00 +0000,335,5,0.014925373,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.26564E+18,https://twitter.com/NextgardenNL/status/1265644125044473856,"NEXTgarden is hét ontwikkelingsgebied voor tuinbouw. 

Wil jij hier meer over weten? Bezoek onze website! https://t.co/YykC5J5177 https://t.co/0V8rMPGIEg",2020-05-27 14:00 +0000,458,9,0.019650655,4,0,1,0,1,0,1,0,0,0,0,0,0,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.26313E+18,https://twitter.com/NextgardenNL/status/1263129906873016320,"De nieuwsbrief van NEXTgarden staat online! 

In de nieuwsbrief wordt een update gegeven over het project Experience the Horticulture NEXTgarden. 

Lees er snel meer over: https://t.co/uuzGhBLBDV 

Schrijf je hier in voor de nieuwsbrief! https://t.co/BsSSZj5aXN https://t.co/ocGWNLToQL",2020-05-20 15:30 +0000,717,17,0.023709902,4,0,1,1,1,0,10,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.26238E+18,https://twitter.com/NextgardenNL/status/1262382642428772359,"Gelderland biedt hulp om sterk uit de #crisis te komen! 

Provincie Gelderland stelt voor bedrijven in de #tuinbouwsector geld beschikbaar om met een adviseur te kunnen sparren over hun situatie en om een plan van aanpak op te stellen. 

Lees hier alles! https://t.co/R3zoDGoTfw https://t.co/S0aTRA3vvn",2020-05-18 14:00 +0000,257,7,0.027237354,1,0,2,2,1,0,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.26093E+18,https://twitter.com/NextgardenNL/status/1260933217160323073,"Volg jij ons nieuwe Instagram profiel al? 🌼

Via de instagram zullen wij prachtige foto's uit het tuinbouwgebied NEXTgarden delen. Volg ons voor een kleurrijke tijdlijn!

https://t.co/FAauKcgIil https://t.co/jRZUVZnYDq",2020-05-14 14:01 +0000,685,9,0.013138686,3,1,1,0,2,0,1,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.25979E+18,https://twitter.com/NextgardenNL/status/1259785499004280833,"Door het sluiten van de horeca, koken mensen meer thuis. Hierdoor groeit de vraag naar kruiden en specerijen. Euroma en Verstegen Spices &amp; Sauces reageren.

Lees er alles over in dit artikel van @VMTredactie: https://t.co/6cTQVeRtP4 https://t.co/dIa4wNbj9B",2020-05-11 10:00 +0000,234,2,0.008547009,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.25939E+18,https://twitter.com/NextgardenNL/status/1259394010113769472,"Fijne moederdag allemaal! 🌹

Nog geen cadeau? Wees loyaal en koop lokaal een bloemetje of plantje! 💐 https://t.co/4zkQBxqKVM",2020-05-10 08:05 +0000,567,15,0.026455026,2,0,1,0,0,0,7,0,0,0,0,0,0,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.25832E+18,https://twitter.com/NextgardenNL/status/1258320941286854658,"Moederdag komt eraan! 🌹

Tijd om een mooi cadeau voor haar te scoren! Tover een glimlach op haar gezicht met een prachtig bloemetje of plantje! 

NEXTgarden is trots op al haar ondernemers, wees loyaal en koop lokaal iets moois! 🌸 https://t.co/XCHSA0incq",2020-05-07 09:01 +0000,315,6,0.019047619,1,0,0,0,0,0,4,0,0,0,0,0,0,44,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.25763E+18,https://twitter.com/NextgardenNL/status/1257626168041394177,"#Nieuwsbrief Greenport #Gelderland weer #online!

Lees hem hier! https://t.co/2GNhaUVBLR https://t.co/huYZlL0iZx",2020-05-05 11:00 +0000,290,2,0.006896552,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.25725E+18,https://twitter.com/NextgardenNL/status/1257248694480646145,"Door de huidige #coronacrisis staan bedrijven in de #sierteelt en #voedingstuinbouw en -glasbouw voor een #uitdaging die op termijn niet alleen maar negatief hoeft uit te pakken. 

Lees hier het hele artikel over @ArnhemNijmegen van @economicboard: https://t.co/kLIEbiEdWg https://t.co/J0tSMP9vtW",2020-05-04 10:00 +0000,411,13,0.03163017,2,0,3,0,2,1,3,0,0,0,0,0,0,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.27578E+18,https://twitter.com/NextgardenNL/status/1275775910571016194,"De nieuwsbrief van de Glastuinbouwpact Arnhem-Nijmegen staat online! 

Met onder andere: 
✅ 25 juni - Live debat over agrarische seizoenarbeiders
✅ Oosterhoutse keker zet Voedselbank in de bloemen
✅ 'Focus op herstel' voor de tuinbouw

Lees je mee? https://t.co/C6DSTUvEd5 https://t.co/mOTmbjjv1G",2020-06-24 13:00 +0000,313,2,0.006389776,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.27399E+18,https://twitter.com/NextgardenNL/status/1273994170789703687,"Dit weekend is het alweer #vaderdag! Ook vaders kunnen heel blij worden van een bloemetje 💐

Koop jij #lokaal een mooie bos bloemen of een plantje om jouw vader extra in het zonnetje te zetten dit #weekend? ☀️

#weesloyaalkooplokaal #supportyourlocals #flowers https://t.co/v5lTRk4PQl",2020-06-19 15:00 +0000,500,6,0.012,2,0,1,0,0,0,2,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.26893E+18,https://twitter.com/NextgardenNL/status/1268928117399269376,"In de Regio Arnhem Nijmegen werken wij samen met 15 gemeenten, de provincie en 3 waterschappen aan regionale plannen voor het #opwekken van #duurzame #energie. 

Ook NEXTgarden doet mee. Lees hier meer informatie! https://t.co/Pa3dJQTkoO
@regioAN https://t.co/0pXl7fFBie",2020-06-05 15:30 +0000,607,4,0.006589786,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.28846E+18,https://twitter.com/NextgardenNL/status/1288459618335719429,"Op deze zonnige dag nemen we een kijkje in de potplantenkwekerij Ewijk in tuinbouwgebied NEXTgarden. 

Kijk je mee?

Meer weten over NEXTgarden, bekijk onze website!  https://t.co/RrTDAmEdDo https://t.co/ySX99Dqj4l",2020-07-29 13:01 +0000,758,67,0.088390501,6,1,7,6,0,0,27,0,0,0,0,0,0,192,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.28515E+18,https://twitter.com/NextgardenNL/status/1285152772350976000,"In glastuinbouwgebied NEXTgarden in Gemeente Lingewaard zijn veel mooie tuinbouwbedrijven gevestigd. 

Neem een kijkje in de kas van Zandvoort Flowers! https://t.co/aEx9TqrQlw",2020-07-20 10:01 +0000,464,16,0.034482759,3,0,6,0,0,0,1,0,0,0,0,0,0,71,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.28339E+18,https://twitter.com/NextgardenNL/status/1283385943299416064,"Vanmorgen heeft NPO Radio 1 een interview gehouden met Jan Taks over de teelt van #kurkuma en zwarte peper. 

In #tuinbouwgebied NEXTgarden in @LingewaardGem wordt onderzoek gedaan naar de teelt van exotische #specerijen. 

Luister mee! https://t.co/vCDOMqxWuJ https://t.co/0l5WUBgrjc",2020-07-15 13:00 +0000,1364,32,0.023460411,4,0,4,0,4,0,16,0,0,0,0,0,0,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.28298E+18,https://twitter.com/NextgardenNL/status/1282978206291656704,"Exotische specerijen, gemaakt in de Betuwe: ‘Kurkuma telen blijkt eigenlijk helemaal niet zo lastig’

Lees het hele artikel uit De Gelderlander en bekijk de video! 
➡️ https://t.co/qZnVVToQfb https://t.co/cb5P7Vhwai",2020-07-14 10:00 +0000,697,32,0.045911047,4,1,3,0,0,0,13,0,0,0,0,0,0,83,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.27901E+18,https://twitter.com/NextgardenNL/status/1279008164042739713,"NEXTgarden herbergt grote spelers die in #Europa en #wereldwijd actief zijn.

Een aantal ondernemers kiest er voor om een deel van hun productie lokaal, regionaal en over de grens in #Duitsland te vermarkten en is daar #succesvol in. https://t.co/81PTkPdfyS",2020-07-03 11:04 +0000,639,9,0.014084507,1,0,2,0,0,0,5,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
