Tweet-ID,Permalink van Tweet,Tweettekst,tijd,weergaven,interacties,retweets,antwoorden,vind-ik-leuks,URL-clicks,clicks op hashtag,uitklappen van details,mediaweergaven,media-interacties
1288459618335719429,https://twitter.com/NextgardenNL/status/1288459618335719429,"Op deze zonnige dag nemen we een kijkje in de potplantenkwekerij Ewijk in tuinbouwgebied NEXTgarden. 

Kijk je mee?

Meer weten over NEXTgarden, bekijk onze website!  https://t.co/RrTDAmEdDo https://t.co/ySX99Dqj4l",2020-07-29 13:01 +0000,736.0,67.0,6.0,1.0,7.0,0.0,0.0,27.0,191,20
1285152772350976000,https://twitter.com/NextgardenNL/status/1285152772350976000,"In glastuinbouwgebied NEXTgarden in Gemeente Lingewaard zijn veel mooie tuinbouwbedrijven gevestigd. 

Neem een kijkje in de kas van Zandvoort Flowers! https://t.co/aEx9TqrQlw",2020-07-20 10:01 +0000,461.0,16.0,3.0,0.0,6.0,0.0,0.0,1.0,71,6
1283385943299416064,https://twitter.com/NextgardenNL/status/1283385943299416064,"Vanmorgen heeft NPO Radio 1 een interview gehouden met Jan Taks over de teelt van #kurkuma en zwarte peper. 

In #tuinbouwgebied NEXTgarden in @LingewaardGem wordt onderzoek gedaan naar de teelt van exotische #specerijen. 

Luister mee! https://t.co/vCDOMqxWuJ https://t.co/0l5WUBgrjc",2020-07-15 13:00 +0000,1353.0,32.0,4.0,0.0,4.0,4.0,0.0,16.0,4,4
1282978206291656704,https://twitter.com/NextgardenNL/status/1282978206291656704,"Exotische specerijen, gemaakt in de Betuwe: ‘Kurkuma telen blijkt eigenlijk helemaal niet zo lastig’

Lees het hele artikel uit De Gelderlander en bekijk de video! 
➡️ https://t.co/qZnVVToQfb https://t.co/cb5P7Vhwai",2020-07-14 10:00 +0000,679.0,32.0,4.0,1.0,3.0,0.0,0.0,13.0,83,11
1279008164042739713,https://twitter.com/NextgardenNL/status/1279008164042739713,"NEXTgarden herbergt grote spelers die in #Europa en #wereldwijd actief zijn.

Een aantal ondernemers kiest er voor om een deel van hun productie lokaal, regionaal en over de grens in #Duitsland te vermarkten en is daar #succesvol in. https://t.co/81PTkPdfyS",2020-07-03 11:04 +0000,638.0,9.0,1.0,0.0,2.0,0.0,0.0,5.0,1,1
1278283167523315718,https://twitter.com/NextgardenNL/status/1278283167523315718,"De meeste 'groene' kennis ter wereld vindt u in onze regio. U kunt participeren in een van de #netwerkorganisaties die #kennis, vakmanschap en #business met elkaar verbinden. https://t.co/v9JPzPVcIh",2020-07-01 11:03 +0000,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
