statnaam,aantal,Datum,inwoneraantal,
Krimpen aan den IJssel,0,27/02/2020,29532,
Leiden,0,27/02/2020,125066,
Leiderdorp,0,27/02/2020,27072,
Lisse,0,27/02/2020,23012,
Maassluis,0,27/02/2020,33258,
Nieuwkoop,0,27/02/2020,28860,
Noordwijk,0,27/02/2020,43586,
Oegstgeest,0,27/02/2020,24852,
Oudewater,0,27/02/2020,10226,
Papendrecht,0,27/02/2020,32151,
Ridderkerk,0,27/02/2020,46341,
Rotterdam,0,27/02/2020,652361,
Rijswijk,0,27/02/2020,54619,
Schiedam,0,27/02/2020,78842,
Sliedrecht,0,27/02/2020,25232,
Albrandswaard,0,27/02/2020,25696,
Westvoorne,0,27/02/2020,14730,
Vlaardingen,0,27/02/2020,73539,
Voorschoten,0,27/02/2020,25612,
Waddinxveen,0,27/02/2020,29365,
Wassenaar,0,27/02/2020,26273,
Woerden,0,27/02/2020,52359,
Zoetermeer,0,27/02/2020,125266,
Zoeterwoude,0,27/02/2020,8647,
Zwijndrecht,0,27/02/2020,44695,
Borsele,0,27/02/2020,22732,
Goes,0,27/02/2020,38174,
West Maas en Waal,0,27/02/2020,63376,
Hulst,0,27/02/2020,27601,
Kapelle,0,27/02/2020,12698,
Middelburg,0,27/02/2020,48802,
Reimerswaal,0,27/02/2020,22714,
Terneuzen,0,27/02/2020,54384,
Tholen,0,27/02/2020,25784,
Veere,0,27/02/2020,21907,
Vlissingen,0,27/02/2020,44339,
De Ronde Venen,0,27/02/2020,24317,
Tytsjerksteradiel,0,27/02/2020,32069,
Asten,0,27/02/2020,16734,
Baarle-Nassau,0,27/02/2020,6867,
Bergen op Zoom,0,27/02/2020,67589,
Best,0,27/02/2020,29997,
Boekel,0,27/02/2020,10783,
Boxmeer,0,27/02/2020,29384,
Boxtel,0,27/02/2020,30807,
Breda,0,27/02/2020,184187,
Deurne,0,27/02/2020,32455,
Pekela,0,27/02/2020,12196,
Dongen,0,27/02/2020,26274,
Eersel,0,27/02/2020,19328,
Eindhoven,0,27/02/2020,234849,
Etten-Leur,0,27/02/2020,43877,
Geertruidenberg,0,27/02/2020,21568,
Gilze en Rijen,0,27/02/2020,26510,
Goirle,0,27/02/2020,23906,
Grave,0,27/02/2020,12457,
Haaren,0,27/02/2020,14364,
Helmond,0,27/02/2020,92312,
's-Hertogenbosch,0,27/02/2020,155381,
Heusden,0,27/02/2020,44709,
Hilvarenbeek,0,27/02/2020,15515,
Loon op Zand,0,27/02/2020,23432,
Mill en Sint Hubert,0,27/02/2020,10945,
"Nuenen, Gerwen en Nederwetten",0,27/02/2020,23372,
Oirschot,0,27/02/2020,18733,
Oisterwijk,0,27/02/2020,26283,
Oosterhout,0,27/02/2020,56052,
Oss,0,27/02/2020,91998,
Rucphen,0,27/02/2020,22900,
Sint-Michielsgestel,0,27/02/2020,29266,
Someren,0,27/02/2020,19362,
Son en Breugel,0,27/02/2020,17329,
Steenbergen,0,27/02/2020,24464,
Waterland,0,27/02/2020,17420,
Tilburg,1,27/02/2020,220144,
Uden,0,27/02/2020,42132,
Valkenswaard,0,27/02/2020,31206,
Veldhoven,0,27/02/2020,45528,
Vught,0,27/02/2020,26577,
Waalre,0,27/02/2020,17452,
Waalwijk,0,27/02/2020,48626,
Woensdrecht,0,27/02/2020,21920,
Zundert,0,27/02/2020,21836,
Wormerland,0,27/02/2020,16266,
Landgraaf,0,27/02/2020,37411,
Beek,0,27/02/2020,15859,
Beesel,0,27/02/2020,13468,
Bergen (L.),0,27/02/2020,13082,
Brunssum,0,27/02/2020,27788,
Gennep,0,27/02/2020,16911,
Heerlen,0,27/02/2020,87024,
Kerkrade,0,27/02/2020,45684,
Maastricht,0,27/02/2020,121511,
Meerssen,0,27/02/2020,18837,
Mook en Middelaar,0,27/02/2020,7841,
Nederweert,0,27/02/2020,17049,
Roermond,0,27/02/2020,58316,
Simpelveld,0,27/02/2020,10539,
Stein,0,27/02/2020,24979,
Vaals,0,27/02/2020,10096,
Venlo,0,27/02/2020,101830,
Venray,0,27/02/2020,43624,
Voerendaal,0,27/02/2020,12479,
Weert,0,27/02/2020,50185,
Valkenburg aan de Geul,0,27/02/2020,16334,
Lelystad,0,27/02/2020,78920,
Horst aan de Maas,0,27/02/2020,42461,
Oude IJsselstreek,0,27/02/2020,39392,
Teylingen,0,27/02/2020,37468,
Utrechtse Heuvelrug,0,27/02/2020,49752,
Oost Gelre,0,27/02/2020,29640,
Koggenland,0,27/02/2020,22763,
Lansingerland,0,27/02/2020,62530,
Leudal,0,27/02/2020,35865,
Maasgouw,0,27/02/2020,23943,
Gemert-Bakel,0,27/02/2020,30733,
Halderberge,0,27/02/2020,30272,
Heeze-Leende,0,27/02/2020,16137,
Laarbeek,0,27/02/2020,22559,
Reusel-De Mierden,0,27/02/2020,13096,
