statnaam,aantal,Datum,inwoneraantal,
Dordrecht,0,06/03/2020,119413,
Gorinchem,0,06/03/2020,37055,
Gouda,0,06/03/2020,73485,
's-Gravenhage,2,06/03/2020,545865,
Hardinxveld-Giessendam,4,06/03/2020,18294,
Hellevoetsluis,0,06/03/2020,40182,
Hendrik-Ido-Ambacht,0,06/03/2020,31249,
Stede Broec,0,06/03/2020,21685,
Hillegom,0,06/03/2020,22208,
Katwijk,0,06/03/2020,65816,
Krimpen aan den IJssel,0,06/03/2020,29532,
Leiden,0,06/03/2020,125066,
Leiderdorp,0,06/03/2020,27072,
Lisse,0,06/03/2020,23012,
Maassluis,0,06/03/2020,33258,
Nieuwkoop,0,06/03/2020,28860,
Noordwijk,0,06/03/2020,43586,
Oegstgeest,0,06/03/2020,24852,
Oudewater,0,06/03/2020,10226,
Papendrecht,0,06/03/2020,32151,
Ridderkerk,0,06/03/2020,46341,
Rotterdam,9,06/03/2020,652361,
Rijswijk,0,06/03/2020,54619,
Schiedam,0,06/03/2020,78842,
Sliedrecht,0,06/03/2020,25232,
Albrandswaard,0,06/03/2020,25696,
Westvoorne,1,06/03/2020,14730,
Vlaardingen,0,06/03/2020,73539,
Voorschoten,0,06/03/2020,25612,
Waddinxveen,0,06/03/2020,29365,
Wassenaar,0,06/03/2020,26273,
Woerden,2,06/03/2020,52359,
Zoetermeer,0,06/03/2020,125266,
Zoeterwoude,0,06/03/2020,8647,
Zwijndrecht,0,06/03/2020,44695,
Borsele,0,06/03/2020,22732,
Goes,0,06/03/2020,38174,
West Maas en Waal,1,06/03/2020,63376,
Hulst,0,06/03/2020,27601,
Kapelle,0,06/03/2020,12698,
Middelburg,0,06/03/2020,48802,
Reimerswaal,0,06/03/2020,22714,
Terneuzen,0,06/03/2020,54384,
Tholen,0,06/03/2020,25784,
Veere,0,06/03/2020,21907,
Vlissingen,0,06/03/2020,44339,
De Ronde Venen,0,06/03/2020,24317,
Tytsjerksteradiel,0,06/03/2020,32069,
Asten,0,06/03/2020,16734,
Baarle-Nassau,0,06/03/2020,6867,
Bergen op Zoom,0,06/03/2020,67589,
Best,1,06/03/2020,29997,
Boekel,0,06/03/2020,10783,
Boxmeer,0,06/03/2020,29384,
Boxtel,0,06/03/2020,30807,
Breda,2,06/03/2020,184187,
Deurne,0,06/03/2020,32455,
Pekela,0,06/03/2020,12196,
Dongen,1,06/03/2020,26274,
Eersel,0,06/03/2020,19328,
Eindhoven,4,06/03/2020,234849,
Etten-Leur,0,06/03/2020,43877,
Geertruidenberg,0,06/03/2020,21568,
Gilze en Rijen,0,06/03/2020,26510,
Goirle,0,06/03/2020,23906,
Grave,0,06/03/2020,12457,
Haaren,0,06/03/2020,14364,
Helmond,4,06/03/2020,92312,
's-Hertogenbosch,0,06/03/2020,155381,
Heusden,0,06/03/2020,44709,
Hilvarenbeek,0,06/03/2020,15515,
Loon op Zand,5,06/03/2020,23432,
Mill en Sint Hubert,0,06/03/2020,10945,
"Nuenen, Gerwen en Nederwetten",0,06/03/2020,23372,
Oirschot,0,06/03/2020,18733,
Oisterwijk,1,06/03/2020,26283,
Oosterhout,0,06/03/2020,56052,
Oss,1,06/03/2020,91998,
Rucphen,0,06/03/2020,22900,
Sint-Michielsgestel,2,06/03/2020,29266,
Someren,0,06/03/2020,19362,
Son en Breugel,0,06/03/2020,17329,
Steenbergen,0,06/03/2020,24464,
Waterland,0,06/03/2020,17420,
Tilburg,4,06/03/2020,220144,
Uden,2,06/03/2020,42132,
Valkenswaard,0,06/03/2020,31206,
Veldhoven,0,06/03/2020,45528,
Vught,0,06/03/2020,26577,
Waalre,1,06/03/2020,17452,
Waalwijk,1,06/03/2020,48626,
Woensdrecht,0,06/03/2020,21920,
Zundert,0,06/03/2020,21836,
Wormerland,0,06/03/2020,16266,
Landgraaf,0,06/03/2020,37411,
Beek,0,06/03/2020,15859,
Beesel,0,06/03/2020,13468,
Bergen (L.),0,06/03/2020,13082,
Brunssum,0,06/03/2020,27788,
Gennep,0,06/03/2020,16911,
Heerlen,0,06/03/2020,87024,
Kerkrade,0,06/03/2020,45684,
Maastricht,2,06/03/2020,121511,
Meerssen,0,06/03/2020,18837,
Mook en Middelaar,0,06/03/2020,7841,
Nederweert,0,06/03/2020,17049,
Roermond,0,06/03/2020,58316,
Simpelveld,2,06/03/2020,10539,
Stein,0,06/03/2020,24979,
Vaals,0,06/03/2020,10096,
Venlo,0,06/03/2020,101830,
Venray,0,06/03/2020,43624,
Voerendaal,0,06/03/2020,12479,
Weert,0,06/03/2020,50185,
Valkenburg aan de Geul,0,06/03/2020,16334,
Lelystad,0,06/03/2020,78920,
Horst aan de Maas,0,06/03/2020,42461,
Oude IJsselstreek,0,06/03/2020,39392,
Teylingen,0,06/03/2020,37468,
Utrechtse Heuvelrug,1,06/03/2020,49752,
Oost Gelre,0,06/03/2020,29640,
Koggenland,0,06/03/2020,22763,
Lansingerland,1,06/03/2020,62530,
Leudal,0,06/03/2020,35865,
Maasgouw,0,06/03/2020,23943,
Gemert-Bakel,1,06/03/2020,30733,
Halderberge,0,06/03/2020,30272,
Heeze-Leende,0,06/03/2020,16137,
Laarbeek,0,06/03/2020,22559,
Reusel-De Mierden,0,06/03/2020,13096,
Roerdalen,0,06/03/2020,20567,
Roosendaal,0,06/03/2020,77297,
Schouwen-Duiveland,0,06/03/2020,33866,
Aa en Hunze,0,06/03/2020,25422,
Borger-Odoorn,0,06/03/2020,25549,
Cuijk,0,06/03/2020,25150,
Landerd,0,06/03/2020,15735,
De Wolden,0,06/03/2020,43113,
Noord-Beveland,0,06/03/2020,7387,
Wijdemeren,0,06/03/2020,24354,
Noordenveld,0,06/03/2020,31243,
Twenterand,0,06/03/2020,33749,
Westerveld,0,06/03/2020,14974,
Sint Anthonis,0,06/03/2020,11688,
Lingewaard,1,06/03/2020,46645,
Cranendonck,0,06/03/2020,21175,
Steenwijkerland,0,06/03/2020,44157,
Moerdijk,0,06/03/2020,37098,
Echt-Susteren,0,06/03/2020,31594,
Sluis,0,06/03/2020,23214,
Drimmelen,0,06/03/2020,27232,
Bernheze,0,06/03/2020,31291,
Alphen-Chaam,0,06/03/2020,10222,
Bergeijk,0,06/03/2020,18678,
Bladel,0,06/03/2020,20408,
Gulpen-Wittem,0,06/03/2020,14164,
Tynaarlo,0,06/03/2020,33795,
Midden-Drenthe,0,06/03/2020,33216,
Overbetuwe,0,06/03/2020,47965,
Hof van Twente,0,06/03/2020,34996,
Neder-Betuwe,0,06/03/2020,24430,
Rijssen-Holten,0,06/03/2020,38186,
Geldrop-Mierlo,0,06/03/2020,39772,
Olst-Wijhe,0,06/03/2020,18253,
Dinkelland,0,06/03/2020,26479,
Westland,0,06/03/2020,19321,
Midden-Delfland,0,06/03/2020,19302,
Berkelland,0,06/03/2020,43760,
Bronckhorst,1,06/03/2020,36031,
Sittard-Geleen,4,06/03/2020,92330,
Kaag en Braassem,0,06/03/2020,27317,
Dantumadiel,0,06/03/2020,18912,
Zuidplas,0,06/03/2020,44043,
Peel en Maas,0,06/03/2020,43627,
Oldambt,0,06/03/2020,38214,
Zwartewaterland,0,06/03/2020,22716,
Súdwest-Fryslân,0,06/03/2020,89881,
Bodegraven-Reeuwijk,0,06/03/2020,34899,
Eijsden-Margraten,0,06/03/2020,25760,
Stichtse Vecht,3,06/03/2020,65029,
Hollands Kroon,0,06/03/2020,48460,
Leidschendam-Voorburg,0,06/03/2020,76524,
Goeree-Overflakkee,0,06/03/2020,50147,
Pijnacker-Nootdorp,2,06/03/2020,55412,
Nissewaard,0,06/03/2020,85207,
Krimpenerwaard,0,06/03/2020,56296,
De Fryske Marren,0,06/03/2020,44499,
Gooise Meren,2,06/03/2020,58084,
Berg en Dal,0,06/03/2020,35002,
Meierijstad,0,06/03/2020,81301,
Waadhoeke,0,06/03/2020,46079,
Westerwolde,0,06/03/2020,110606,
Midden-Groningen,0,06/03/2020,60788,
Beekdaelen,1,06/03/2020,35978,
Montferland,0,06/03/2020,35998,
Altena,4,06/03/2020,55966,
West Betuwe,1,06/03/2020,51233,
Vijfheerenlanden,0,06/03/2020,56912,
Hoeksche Waard,1,06/03/2020,87531,
Het Hogeland,0,06/03/2020,47872,
Westerkwartier,0,06/03/2020,19479,
Noardeast-Fryslân,0,06/03/2020,45263,
Molenlanden,0,06/03/2020,43976,
,4,07/03/2020,0,
Appingedam,0,07/03/2020,11650,
Delfzijl,0,07/03/2020,24649,
Groningen,0,07/03/2020,232982,
Loppersum,0,07/03/2020,9513,
Almere,1,07/03/2020,212408,
Stadskanaal,0,07/03/2020,31691,
Veendam,0,07/03/2020,27378,
Zeewolde,1,07/03/2020,22545,
Achtkarspelen,0,07/03/2020,27833,
Ameland,0,07/03/2020,3718,
Harlingen,0,07/03/2020,15719,
Heerenveen,0,07/03/2020,50469,
Leeuwarden,0,07/03/2020,124024,
Ooststellingwerf,0,07/03/2020,25489,
Opsterland,0,07/03/2020,29698,
Schiermonnikoog,0,07/03/2020,946,
Smallingerland,0,07/03/2020,56173,
Terschelling,0,07/03/2020,4856,
Vlieland,0,07/03/2020,1158,
Weststellingwerf,0,07/03/2020,25930,
Assen,0,07/03/2020,68743,
Coevorden,3,07/03/2020,35293,
Emmen,0,07/03/2020,106977,
Hoogeveen,0,07/03/2020,55645,
Meppel,0,07/03/2020,33947,
Almelo,0,07/03/2020,73132,
Borne,2,07/03/2020,23341,
Dalfsen,0,07/03/2020,28637,
Deventer,0,07/03/2020,100893,
Enschede,0,07/03/2020,159603,
Haaksbergen,0,07/03/2020,24274,
Hardenberg,0,07/03/2020,60971,
Hellendoorn,1,07/03/2020,35915,
Hengelo,0,07/03/2020,81198,
Kampen,0,07/03/2020,54347,
Losser,0,07/03/2020,22685,
Noordoostpolder,0,07/03/2020,47443,
Oldenzaal,0,07/03/2020,31851,
Ommen,0,07/03/2020,18011,
Raalte,0,07/03/2020,37701,
Staphorst,0,07/03/2020,17147,
Tubbergen,0,07/03/2020,21264,
Urk,0,07/03/2020,21043,
Wierden,0,07/03/2020,24441,
Zwolle,0,07/03/2020,129062,
Aalten,0,07/03/2020,27089,
Apeldoorn,0,07/03/2020,163853,
Arnhem,1,07/03/2020,161594,
Barneveld,0,07/03/2020,59308,
Beuningen,1,07/03/2020,25897,
Brummen,0,07/03/2020,20772,
Buren,0,07/03/2020,26762,
Culemborg,1,07/03/2020,29015,
Doesburg,0,07/03/2020,11086,
Doetinchem,0,07/03/2020,58064,
Druten,0,07/03/2020,18954,
Duiven,0,07/03/2020,25109,
Ede,0,07/03/2020,117041,
Elburg,0,07/03/2020,23176,
Epe,0,07/03/2020,33211,
Ermelo,0,07/03/2020,26987,
Harderwijk,0,07/03/2020,48665,
Hattem,0,07/03/2020,12209,
Heerde,0,07/03/2020,18612,
Heumen,0,07/03/2020,16446,
Lochem,0,07/03/2020,33713,
Maasdriel,0,07/03/2020,25130,
Nijkerk,0,07/03/2020,43202,
Nijmegen,2,07/03/2020,177630,
Oldebroek,0,07/03/2020,23631,
Putten,0,07/03/2020,24120,
Renkum,1,07/03/2020,31413,
Rheden,0,07/03/2020,43672,
Rozendaal,0,07/03/2020,1699,
Scherpenzeel,0,07/03/2020,9874,
Tiel,0,07/03/2020,42092,
Voorst,0,07/03/2020,24594,
Wageningen,0,07/03/2020,39844,
Westervoort,0,07/03/2020,25792,
Winterswijk,0,07/03/2020,28820,
Wijchen,0,07/03/2020,41094,
Zaltbommel,1,07/03/2020,28926,
Zevenaar,0,07/03/2020,43804,
Zutphen,0,07/03/2020,48010,
Nunspeet,0,07/03/2020,27825,
Dronten,0,07/03/2020,41655,
Amersfoort,0,07/03/2020,157312,
Baarn,0,07/03/2020,24885,
De Bilt,6,07/03/2020,51608,
Bunnik,0,07/03/2020,15198,
Bunschoten,0,07/03/2020,21862,
Eemnes,0,07/03/2020,9254,
Houten,13,07/03/2020,50234,
Leusden,0,07/03/2020,30417,
Lopik,0,07/03/2020,14464,
Montfoort,0,07/03/2020,13906,
Renswoude,0,07/03/2020,5466,
Rhenen,0,07/03/2020,20120,
Soest,7,07/03/2020,46656,
Utrecht,11,07/03/2020,358454,
Veenendaal,0,07/03/2020,66618,
Woudenberg,0,07/03/2020,13382,
Wijk bij Duurstede,1,07/03/2020,23895,
IJsselstein,0,07/03/2020,34059,
Zeist,1,07/03/2020,64959,
Nieuwegein,0,07/03/2020,63505,
Aalsmeer,0,07/03/2020,31837,
Alkmaar,0,07/03/2020,109589,
Amstelveen,1,07/03/2020,91767,
Amsterdam,3,07/03/2020,874272,
Beemster,0,07/03/2020,9992,
Bergen (NH.),0,07/03/2020,29869,
Beverwijk,3,07/03/2020,41610,
Blaricum,1,07/03/2020,11556,
Bloemendaal,1,07/03/2020,23544,
Castricum,0,07/03/2020,36005,
Diemen,2,07/03/2020,31003,
Edam-Volendam,0,07/03/2020,36211,
Enkhuizen,0,07/03/2020,18644,
Haarlem,1,07/03/2020,163109,
Haarlemmermeer,0,07/03/2020,156355,
Heemskerk,0,07/03/2020,39167,
Heemstede,0,07/03/2020,27259,
Heerhugowaard,0,07/03/2020,57752,
Heiloo,0,07/03/2020,23956,
Den Helder,0,07/03/2020,56359,
Hilversum,0,07/03/2020,91038,
Hoorn,0,07/03/2020,73294,
Huizen,0,07/03/2020,41182,
Landsmeer,1,07/03/2020,11511,
Langedijk,0,07/03/2020,28123,
Laren,0,07/03/2020,11320,
Medemblik,0,07/03/2020,45114,
Oostzaan,0,07/03/2020,9708,
Opmeer,0,07/03/2020,11839,
Ouder-Amstel,0,07/03/2020,14081,
Purmerend,0,07/03/2020,81462,
Schagen,0,07/03/2020,46471,
Texel,0,07/03/2020,13571,
Uitgeest,0,07/03/2020,13637,
Uithoorn,0,07/03/2020,29537,
Velsen,0,07/03/2020,68732,
Weesp,0,07/03/2020,19856,
Zandvoort,0,07/03/2020,17136,
Zaanstad,2,07/03/2020,156856,
Alblasserdam,0,07/03/2020,20158,
Alphen aan den Rijn,1,07/03/2020,119952,
Barendrecht,0,07/03/2020,48691,
Drechterland,0,07/03/2020,19732,
Brielle,0,07/03/2020,17273,
Capelle aan den IJssel,0,07/03/2020,67217,
Delft,1,07/03/2020,103536,
Dordrecht,0,07/03/2020,119413,
Gorinchem,0,07/03/2020,37055,
Gouda,0,07/03/2020,73485,
's-Gravenhage,2,07/03/2020,545865,
Hardinxveld-Giessendam,4,07/03/2020,18294,
Hellevoetsluis,0,07/03/2020,40182,
Hendrik-Ido-Ambacht,0,07/03/2020,31249,
Stede Broec,0,07/03/2020,21685,
Hillegom,0,07/03/2020,22208,
Katwijk,0,07/03/2020,65816,
Krimpen aan den IJssel,0,07/03/2020,29532,
Leiden,0,07/03/2020,125066,
Leiderdorp,0,07/03/2020,27072,
Lisse,0,07/03/2020,23012,
Maassluis,0,07/03/2020,33258,
Nieuwkoop,0,07/03/2020,28860,
Noordwijk,0,07/03/2020,43586,
Oegstgeest,1,07/03/2020,24852,
Oudewater,0,07/03/2020,10226,
Papendrecht,0,07/03/2020,32151,
Ridderkerk,1,07/03/2020,46341,
Rotterdam,11,07/03/2020,652361,
Rijswijk,0,07/03/2020,54619,
Schiedam,0,07/03/2020,78842,
Sliedrecht,0,07/03/2020,25232,
Albrandswaard,0,07/03/2020,25696,
Westvoorne,1,07/03/2020,14730,
Vlaardingen,0,07/03/2020,73539,
Voorschoten,0,07/03/2020,25612,
Waddinxveen,0,07/03/2020,29365,
Wassenaar,0,07/03/2020,26273,
Woerden,2,07/03/2020,52359,
Zoetermeer,0,07/03/2020,125266,
Zoeterwoude,0,07/03/2020,8647,
Zwijndrecht,0,07/03/2020,44695,
Borsele,0,07/03/2020,22732,
Goes,0,07/03/2020,38174,
West Maas en Waal,1,07/03/2020,63376,
Hulst,0,07/03/2020,27601,
Kapelle,0,07/03/2020,12698,
Middelburg,0,07/03/2020,48802,
Reimerswaal,0,07/03/2020,22714,
Terneuzen,0,07/03/2020,54384,
Tholen,0,07/03/2020,25784,
Veere,0,07/03/2020,21907,
Vlissingen,0,07/03/2020,44339,
De Ronde Venen,0,07/03/2020,24317,
Tytsjerksteradiel,0,07/03/2020,32069,
Asten,0,07/03/2020,16734,
Baarle-Nassau,0,07/03/2020,6867,
Bergen op Zoom,0,07/03/2020,67589,
Best,1,07/03/2020,29997,
Boekel,0,07/03/2020,10783,
Boxmeer,0,07/03/2020,29384,
Boxtel,0,07/03/2020,30807,
Breda,2,07/03/2020,184187,
Deurne,0,07/03/2020,32455,
Pekela,0,07/03/2020,12196,
Dongen,2,07/03/2020,26274,
Eersel,0,07/03/2020,19328,
Eindhoven,4,07/03/2020,234849,
Etten-Leur,0,07/03/2020,43877,
Geertruidenberg,0,07/03/2020,21568,
Gilze en Rijen,0,07/03/2020,26510,
Goirle,0,07/03/2020,23906,
Grave,0,07/03/2020,12457,
Haaren,0,07/03/2020,14364,
Helmond,4,07/03/2020,92312,
's-Hertogenbosch,2,07/03/2020,155381,
Heusden,1,07/03/2020,44709,
Hilvarenbeek,0,07/03/2020,15515,
Loon op Zand,7,07/03/2020,23432,
Mill en Sint Hubert,0,07/03/2020,10945,
"Nuenen, Gerwen en Nederwetten",0,07/03/2020,23372,
Oirschot,0,07/03/2020,18733,
Oisterwijk,3,07/03/2020,26283,
Oosterhout,0,07/03/2020,56052,
Oss,1,07/03/2020,91998,
Rucphen,0,07/03/2020,22900,
Sint-Michielsgestel,3,07/03/2020,29266,
Someren,0,07/03/2020,19362,
Son en Breugel,0,07/03/2020,17329,
Steenbergen,0,07/03/2020,24464,
Waterland,0,07/03/2020,17420,
Tilburg,10,07/03/2020,220144,
Uden,6,07/03/2020,42132,
Valkenswaard,0,07/03/2020,31206,
Veldhoven,0,07/03/2020,45528,
Vught,0,07/03/2020,26577,
Waalre,1,07/03/2020,17452,
Waalwijk,3,07/03/2020,48626,
Woensdrecht,0,07/03/2020,21920,
Zundert,0,07/03/2020,21836,
Wormerland,0,07/03/2020,16266,
Landgraaf,0,07/03/2020,37411,
Beek,0,07/03/2020,15859,
Beesel,0,07/03/2020,13468,
Bergen (L.),0,07/03/2020,13082,
Brunssum,0,07/03/2020,27788,
Gennep,0,07/03/2020,16911,
Heerlen,0,07/03/2020,87024,
Kerkrade,0,07/03/2020,45684,
Maastricht,3,07/03/2020,121511,
Meerssen,0,07/03/2020,18837,
Mook en Middelaar,0,07/03/2020,7841,
Nederweert,0,07/03/2020,17049,
Roermond,0,07/03/2020,58316,
Simpelveld,2,07/03/2020,10539,
Stein,0,07/03/2020,24979,
Vaals,0,07/03/2020,10096,
Venlo,0,07/03/2020,101830,
Venray,0,07/03/2020,43624,
Voerendaal,0,07/03/2020,12479,
Weert,0,07/03/2020,50185,
Valkenburg aan de Geul,0,07/03/2020,16334,
Lelystad,0,07/03/2020,78920,
Horst aan de Maas,0,07/03/2020,42461,
Oude IJsselstreek,0,07/03/2020,39392,
Teylingen,0,07/03/2020,37468,
Utrechtse Heuvelrug,1,07/03/2020,49752,
Oost Gelre,0,07/03/2020,29640,
Koggenland,0,07/03/2020,22763,
Lansingerland,2,07/03/2020,62530,
Leudal,0,07/03/2020,35865,
Maasgouw,0,07/03/2020,23943,
Gemert-Bakel,1,07/03/2020,30733,
Halderberge,0,07/03/2020,30272,
Heeze-Leende,0,07/03/2020,16137,
Laarbeek,0,07/03/2020,22559,
Reusel-De Mierden,0,07/03/2020,13096,
Roerdalen,0,07/03/2020,20567,
Roosendaal,0,07/03/2020,77297,
Schouwen-Duiveland,1,07/03/2020,33866,
Aa en Hunze,0,07/03/2020,25422,
Borger-Odoorn,0,07/03/2020,25549,
Cuijk,0,07/03/2020,25150,
Landerd,0,07/03/2020,15735,
De Wolden,0,07/03/2020,43113,
Noord-Beveland,0,07/03/2020,7387,
Wijdemeren,0,07/03/2020,24354,
Noordenveld,0,07/03/2020,31243,
Twenterand,0,07/03/2020,33749,
Westerveld,0,07/03/2020,14974,
Sint Anthonis,0,07/03/2020,11688,
Lingewaard,2,07/03/2020,46645,
Cranendonck,0,07/03/2020,21175,
Steenwijkerland,0,07/03/2020,44157,
Moerdijk,0,07/03/2020,37098,
Echt-Susteren,0,07/03/2020,31594,
Sluis,0,07/03/2020,23214,
Drimmelen,0,07/03/2020,27232,
Bernheze,1,07/03/2020,31291,
Alphen-Chaam,0,07/03/2020,10222,
Bergeijk,0,07/03/2020,18678,
Bladel,0,07/03/2020,20408,
Gulpen-Wittem,0,07/03/2020,14164,
Tynaarlo,0,07/03/2020,33795,
Midden-Drenthe,0,07/03/2020,33216,
Overbetuwe,0,07/03/2020,47965,
Hof van Twente,0,07/03/2020,34996,
Neder-Betuwe,0,07/03/2020,24430,
Rijssen-Holten,0,07/03/2020,38186,
Geldrop-Mierlo,0,07/03/2020,39772,
Olst-Wijhe,0,07/03/2020,18253,
Dinkelland,1,07/03/2020,26479,
Westland,0,07/03/2020,19321,
Midden-Delfland,0,07/03/2020,19302,
Berkelland,0,07/03/2020,43760,
Bronckhorst,1,07/03/2020,36031,
Sittard-Geleen,4,07/03/2020,92330,
Kaag en Braassem,0,07/03/2020,27317,
Dantumadiel,0,07/03/2020,18912,
Zuidplas,0,07/03/2020,44043,
Peel en Maas,0,07/03/2020,43627,
Oldambt,0,07/03/2020,38214,
Zwartewaterland,0,07/03/2020,22716,
Súdwest-Fryslân,0,07/03/2020,89881,
Bodegraven-Reeuwijk,0,07/03/2020,34899,
Eijsden-Margraten,0,07/03/2020,25760,
Stichtse Vecht,4,07/03/2020,65029,
Hollands Kroon,0,07/03/2020,48460,
Leidschendam-Voorburg,1,07/03/2020,76524,
Goeree-Overflakkee,0,07/03/2020,50147,
Pijnacker-Nootdorp,2,07/03/2020,55412,
Nissewaard,0,07/03/2020,85207,
Krimpenerwaard,0,07/03/2020,56296,
De Fryske Marren,0,07/03/2020,44499,
Gooise Meren,2,07/03/2020,58084,
Berg en Dal,0,07/03/2020,35002,
Meierijstad,1,07/03/2020,81301,
Waadhoeke,0,07/03/2020,46079,
Westerwolde,0,07/03/2020,110606,
Midden-Groningen,0,07/03/2020,60788,
Beekdaelen,2,07/03/2020,35978,
Montferland,0,07/03/2020,35998,
Altena,4,07/03/2020,55966,
West Betuwe,2,07/03/2020,51233,
Vijfheerenlanden,1,07/03/2020,56912,
Hoeksche Waard,2,07/03/2020,87531,
Het Hogeland,0,07/03/2020,47872,
Westerkwartier,0,07/03/2020,19479,
Noardeast-Fryslân,0,07/03/2020,45263,
Molenlanden,0,07/03/2020,43976,
,2,08/03/2020,0,
Appingedam,0,08/03/2020,11650,
Delfzijl,0,08/03/2020,24649,
Groningen,0,08/03/2020,232982,
Loppersum,0,08/03/2020,9513,
Almere,1,08/03/2020,212408,
Stadskanaal,0,08/03/2020,31691,
Veendam,0,08/03/2020,27378,
Zeewolde,1,08/03/2020,22545,
Achtkarspelen,0,08/03/2020,27833,
Ameland,0,08/03/2020,3718,
Harlingen,0,08/03/2020,15719,
Heerenveen,0,08/03/2020,50469,
Leeuwarden,0,08/03/2020,124024,
Ooststellingwerf,0,08/03/2020,25489,
Opsterland,0,08/03/2020,29698,
Schiermonnikoog,0,08/03/2020,946,
Smallingerland,0,08/03/2020,56173,
Terschelling,0,08/03/2020,4856,
Vlieland,0,08/03/2020,1158,
Weststellingwerf,0,08/03/2020,25930,
Assen,0,08/03/2020,68743,
Coevorden,7,08/03/2020,35293,
Emmen,1,08/03/2020,106977,
Hoogeveen,0,08/03/2020,55645,
Meppel,0,08/03/2020,33947,
Almelo,1,08/03/2020,73132,
Borne,3,08/03/2020,23341,
Dalfsen,0,08/03/2020,28637,
Deventer,0,08/03/2020,100893,
Enschede,0,08/03/2020,159603,
Haaksbergen,0,08/03/2020,24274,
Hardenberg,0,08/03/2020,60971,
Hellendoorn,2,08/03/2020,35915,
Hengelo,0,08/03/2020,81198,
Kampen,0,08/03/2020,54347,
Losser,0,08/03/2020,22685,
Noordoostpolder,0,08/03/2020,47443,
Oldenzaal,0,08/03/2020,31851,
Ommen,0,08/03/2020,18011,
Raalte,0,08/03/2020,37701,
Staphorst,0,08/03/2020,17147,
Tubbergen,0,08/03/2020,21264,
Urk,0,08/03/2020,21043,
Wierden,0,08/03/2020,24441,
Zwolle,1,08/03/2020,129062,
Aalten,0,08/03/2020,27089,
Apeldoorn,0,08/03/2020,163853,
Arnhem,3,08/03/2020,161594,
Barneveld,0,08/03/2020,59308,
Beuningen,5,08/03/2020,25897,
Brummen,0,08/03/2020,20772,
Buren,0,08/03/2020,26762,
Culemborg,1,08/03/2020,29015,
Doesburg,0,08/03/2020,11086,
Doetinchem,0,08/03/2020,58064,
Druten,0,08/03/2020,18954,
Duiven,0,08/03/2020,25109,
Ede,0,08/03/2020,117041,
Elburg,0,08/03/2020,23176,
Epe,0,08/03/2020,33211,
Ermelo,0,08/03/2020,26987,
Harderwijk,0,08/03/2020,48665,
Hattem,0,08/03/2020,12209,
Heerde,0,08/03/2020,18612,
Heumen,0,08/03/2020,16446,
Lochem,0,08/03/2020,33713,
Maasdriel,1,08/03/2020,25130,
Nijkerk,0,08/03/2020,43202,
Nijmegen,2,08/03/2020,177630,
Oldebroek,0,08/03/2020,23631,
Putten,0,08/03/2020,24120,
Renkum,5,08/03/2020,31413,
Rheden,0,08/03/2020,43672,
Rozendaal,0,08/03/2020,1699,
Scherpenzeel,0,08/03/2020,9874,
Tiel,0,08/03/2020,42092,
Voorst,0,08/03/2020,24594,
Wageningen,0,08/03/2020,39844,
Westervoort,0,08/03/2020,25792,
Winterswijk,0,08/03/2020,28820,
Wijchen,1,08/03/2020,41094,
Zaltbommel,1,08/03/2020,28926,
Zevenaar,0,08/03/2020,43804,
Zutphen,0,08/03/2020,48010,
Nunspeet,0,08/03/2020,27825,
Dronten,0,08/03/2020,41655,
Amersfoort,0,08/03/2020,157312,
Baarn,0,08/03/2020,24885,
De Bilt,6,08/03/2020,51608,
Bunnik,0,08/03/2020,15198,
Bunschoten,0,08/03/2020,21862,
Eemnes,0,08/03/2020,9254,
Houten,13,08/03/2020,50234,
Leusden,0,08/03/2020,30417,
Lopik,0,08/03/2020,14464,
Montfoort,0,08/03/2020,13906,
Renswoude,0,08/03/2020,5466,
Rhenen,0,08/03/2020,20120,
Soest,7,08/03/2020,46656,
Utrecht,13,08/03/2020,358454,
Veenendaal,0,08/03/2020,66618,
Woudenberg,0,08/03/2020,13382,
Wijk bij Duurstede,1,08/03/2020,23895,
IJsselstein,1,08/03/2020,34059,
Zeist,1,08/03/2020,64959,
Nieuwegein,0,08/03/2020,63505,
Aalsmeer,0,08/03/2020,31837,
Alkmaar,0,08/03/2020,109589,
Amstelveen,1,08/03/2020,91767,
Amsterdam,4,08/03/2020,874272,
Beemster,0,08/03/2020,9992,
Bergen (NH.),0,08/03/2020,29869,
Beverwijk,4,08/03/2020,41610,
Blaricum,1,08/03/2020,11556,
Bloemendaal,1,08/03/2020,23544,
Castricum,0,08/03/2020,36005,
Diemen,2,08/03/2020,31003,
Edam-Volendam,0,08/03/2020,36211,
Enkhuizen,0,08/03/2020,18644,
Haarlem,2,08/03/2020,163109,
Haarlemmermeer,0,08/03/2020,156355,
Heemskerk,0,08/03/2020,39167,
Heemstede,1,08/03/2020,27259,
Heerhugowaard,0,08/03/2020,57752,
Heiloo,0,08/03/2020,23956,
Den Helder,0,08/03/2020,56359,
Hilversum,0,08/03/2020,91038,
Hoorn,0,08/03/2020,73294,
Huizen,1,08/03/2020,41182,
Landsmeer,0,08/03/2020,11511,
Langedijk,0,08/03/2020,28123,
Laren,0,08/03/2020,11320,
Medemblik,0,08/03/2020,45114,
Oostzaan,0,08/03/2020,9708,
Opmeer,0,08/03/2020,11839,
Ouder-Amstel,0,08/03/2020,14081,
Purmerend,0,08/03/2020,81462,
