Samengevoegde statistieken over de interactiefrequentie voor spontane en gesponsorde updates. De datum geeft aan wanneer de updates werden bekeken door LinkedIn-leden. De gegevens lopen maximaal 2 dagen achter. Alle datums en tijden worden weergegeven in UTC.,,,,,,,,,,,,,,,,,,,
Datum,Weergaven (spontaan),Weergaven (gesponsord),Weergaven (totaal),Unieke weergaven (spontaan),Klikken (spontaan),Klikken (gesponsord),Klikken (totaal),Reacties (spontaan),Reacties (gesponsord),Reacties (totaal),Commentaren (spontaan),Commentaren (gesponsord),Commentaren (totaal),Gedeeld (spontaan),Gedeeld (gesponsord),Gedeeld (totaal),Interactiefrequentie (spontaan),Interactiefrequentie (gesponsord),Interactiefrequentie (totaal)
06/14/2020,18,0,18,8,1,0,1,0,0,0,0,0,0,0,0,0,0.055555556,0,0.055555556
06/15/2020,9,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/16/2020,8,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/17/2020,12,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/18/2020,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/19/2020,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
06/20/2020,31,0,31,23,1,0,1,1,0,1,0,0,0,0,0,0,0.064516129,0,0.064516129
06/21/2020,15,0,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/22/2020,11,0,11,10,0,0,0,1,0,1,0,0,0,0,0,0,0.090909091,0,0.090909091
06/23/2020,21,0,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/24/2020,51,0,51,36,2,0,2,0,0,0,0,0,0,0,0,0,0.039215686,0,0.039215686
06/25/2020,27,0,27,21,2,0,2,1,0,1,0,0,0,0,0,0,0.111111111,0,0.111111111
06/26/2020,16,0,16,8,1,0,1,0,0,0,0,0,0,0,0,0,0.0625,0,0.0625
06/27/2020,21,0,21,15,0,0,0,1,0,1,0,0,0,0,0,0,0.047619048,0,0.047619048
06/28/2020,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/29/2020,9,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/30/2020,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/01/2020,98,0,98,50,4,0,4,3,0,3,0,0,0,0,0,0,0.071428571,0,0.071428571
07/02/2020,23,0,23,17,0,0,0,1,0,1,0,0,0,0,0,0,0.043478261,0,0.043478261
07/03/2020,97,0,97,66,0,0,0,1,0,1,0,0,0,0,0,0,0.010309278,0,0.010309278
07/04/2020,32,0,32,18,1,0,1,0,0,0,0,0,0,0,0,0,0.03125,0,0.03125
07/05/2020,17,0,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/06/2020,16,0,16,6,1,0,1,0,0,0,0,0,0,0,0,0,0.0625,0,0.0625
07/07/2020,9,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/08/2020,30,0,30,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/09/2020,43,0,43,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/10/2020,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/11/2020,14,0,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/12/2020,9,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/13/2020,46,0,46,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/14/2020,392,0,392,284,8,0,8,11,0,11,1,0,1,2,0,2,0.056122449,0,0.056122449
07/15/2020,419,0,419,273,10,0,10,14,0,14,0,0,0,4,0,4,0.066825776,0,0.066825776
07/16/2020,198,0,198,112,8,0,8,7,0,7,0,0,0,3,0,3,0.090909091,0,0.090909091
07/17/2020,110,0,110,76,2,0,2,0,0,0,1,0,1,1,0,1,0.036363636,0,0.036363636
07/18/2020,184,0,184,121,6,0,6,2,0,2,0,0,0,0,0,0,0.043478261,0,0.043478261
07/19/2020,123,0,123,101,2,0,2,3,0,3,0,0,0,0,0,0,0.040650407,0,0.040650407
07/20/2020,227,0,227,170,3,0,3,3,0,3,0,0,0,0,0,0,0.026431718,0,0.026431718
07/21/2020,127,0,127,91,2,0,2,4,0,4,0,0,0,0,0,0,0.047244094,0,0.047244094
07/22/2020,96,0,96,75,1,0,1,0,0,0,0,0,0,0,0,0,0.010416667,0,0.010416667
07/23/2020,63,0,63,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/24/2020,37,0,37,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/25/2020,68,0,68,54,0,0,0,1,0,1,0,0,0,0,0,0,0.014705882,0,0.014705882
07/26/2020,145,0,145,57,3,0,3,4,0,4,0,0,0,0,0,0,0.048275862,0,0.048275862
07/27/2020,173,0,173,105,5,0,5,2,0,2,0,0,0,0,0,0,0.040462428,0,0.040462428
07/28/2020,74,0,74,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/29/2020,136,0,136,82,3,0,3,3,0,3,0,0,0,1,0,1,0.051470588,0,0.051470588
07/30/2020,77,0,77,57,0,0,0,3,0,3,0,0,0,0,0,0,0.038961039,0,0.038961039
07/31/2020,50,0,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/01/2020,37,0,37,18,1,0,1,1,0,1,0,0,0,0,0,0,0.054054054,0,0.054054054
08/02/2020,24,0,24,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/03/2020,82,0,82,21,6,0,6,0,0,0,0,0,0,0,0,0,0.073170732,0,0.073170732
08/04/2020,25,0,25,13,0,0,0,1,0,1,0,0,0,0,0,0,0.04,0,0.04
08/05/2020,116,0,116,53,6,0,6,6,0,6,0,0,0,0,0,0,0.103448276,0,0.103448276
08/06/2020,58,0,58,33,1,0,1,0,0,0,0,0,0,0,0,0,0.017241379,0,0.017241379
08/07/2020,20,0,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/08/2020,21,0,21,15,0,0,0,1,0,1,0,0,0,0,0,0,0.047619048,0,0.047619048
08/09/2020,21,0,21,7,1,0,1,0,0,0,0,0,0,0,0,0,0.047619048,0,0.047619048
08/10/2020,15,0,15,9,1,0,1,0,0,0,0,0,0,0,0,0,0.066666667,0,0.066666667
08/11/2020,19,0,19,12,0,0,0,2,0,2,0,0,0,0,0,0,0.105263158,0,0.105263158
08/12/2020,25,0,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/13/2020,16,0,16,10,0,0,0,1,0,1,0,0,0,1,0,1,0.125,0,0.125
08/14/2020,13,0,13,8,0,0,0,1,0,1,0,0,0,0,0,0,0.076923077,0,0.076923077
08/15/2020,22,0,22,9,2,0,2,0,0,0,0,0,0,0,0,0,0.090909091,0,0.090909091
08/16/2020,18,0,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/17/2020,12,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/18/2020,223,0,223,161,8,0,8,10,0,10,0,0,0,0,0,0,0.080717489,0,0.080717489
08/19/2020,109,0,109,70,2,0,2,3,0,3,0,0,0,0,0,0,0.04587156,0,0.04587156
08/20/2020,47,0,47,33,0,0,0,2,0,2,0,0,0,0,0,0,0.042553191,0,0.042553191
08/21/2020,139,0,139,83,9,0,9,3,0,3,0,0,0,0,0,0,0.086330935,0,0.086330935
08/22/2020,113,0,113,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/23/2020,37,0,37,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/24/2020,24,0,24,18,1,0,1,1,0,1,0,0,0,0,0,0,0.083333333,0,0.083333333
08/25/2020,70,0,70,53,1,0,1,1,0,1,0,0,0,0,0,0,0.028571429,0,0.028571429
08/26/2020,43,0,43,25,3,0,3,0,0,0,0,0,0,0,0,0,0.069767442,0,0.069767442
08/27/2020,13,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/28/2020,26,0,26,22,1,0,1,0,0,0,0,0,0,0,0,0,0.038461538,0,0.038461538
08/29/2020,23,0,23,11,2,0,2,0,0,0,0,0,0,0,0,0,0.086956522,0,0.086956522
08/30/2020,11,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
